word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
vague,/veɪg/,mơ hồ,Not clearly or explicitly stated or expressed; not having a precise meaning.,Early philosophical texts often contain vague terminology that requires careful hermeneutic analysis to decipher the author's original intent.,adjective,"a vague, the vague, and vague","unclear, imprecise",,Philosophy,IELTS 7.5+
preference,/ˈprɛfərəns/,sự ưa thích,"A greater liking for one alternative over another or others, often influencing choice and behavior.","In decision theory, a rational agent's preference ordering must be complete and transitive to ensure consistent choices among all available options.",noun,"a preference, the preference, in preference","inclination, predilection",,Psychology,IELTS 7.5+
neutral,/ˈnutrəl/,trung lập,"Not supporting or helping either side in a conflict, disagreement, or competition; having no strongly marked or positive characteristics or features.","In the complex geopolitical landscape of the early 20th century, Switzerland's long-standing policy of armed neutrality was a cornerstone of its foreign policy, allowing it to avoid entanglement in the great power conflicts that engulfed the continent.",adjective,"a neutral, the neutral, of neutral","impartial, unbiased",,Political Science,IELTS 7.5+
enormous,/ɪˈnɔrmɪs/,lớn lao,"Extremely large in size, scale, or degree.","The discovery of the enormous cosmic web, a filamentary structure of galaxies stretching across billions of light-years, has revolutionized our understanding of the universe's large-scale structure.",adjective,"an enormous, the enormous, of enormous","immense, vast",,Astronomy,IELTS 7.5+
persuade,/pərsˈweɪd/,thuyết phục,"To cause someone to do or believe something through reasoning, argument, or entreaty.","In classical rhetoric, the art of logos was central to the speaker's ability to persuade the audience through logical reasoning and evidence-based arguments.",verb,"to persuade, and persuade, not persuade","convince, induce",,Rhetoric,IELTS 7.5+
behaviour,/bɪˈheɪvjər/,hành vi,The way in which an animal or person acts in response to a particular situation or stimulus.,"Ethology, the study of animal behaviour, often examines how innate and learned factors interact to produce complex patterns of action in response to environmental stimuli.",noun,"the behaviour, of behaviour, and behaviour","conduct, demeanor",,Psychology,IELTS 7.5+
spectrum,/ˈspɛktrəm/,quang phổ,"A continuous sequence or range, such as the band of colors produced when light is dispersed by a prism, or more broadly, a wide range of related ideas, qualities, or conditions.","The analysis of the electromagnetic spectrum allows astronomers to determine the chemical composition, temperature, and density of distant celestial objects.",noun,"the spectrum, a spectrum, broad spectrum","range, continuum",,Physics,IELTS 7.5+
disrupt,/dɪsˈrəpt/,làm gián đoạn,To interrupt the normal course or unity of something; to cause a disturbance or problem that stops something from continuing as usual.,The introduction of social media has been shown to significantly disrupt traditional patterns of political communication and civic engagement.,verb,"to disrupt, and disrupt, can disrupt","interrupt, disturb",,Sociology,IELTS 7.5+
inferior,/ˌɪnˈfɪriər/,kém cỏi,"Lower in rank, status, or quality; of less importance, value, or merit.","Historically, many societies constructed elaborate social hierarchies that systematically labeled certain ethnic or social groups as inherently inferior, justifying widespread discrimination and inequality.",adjective,"the inferior, an inferior, and inferior","substandard, subordinate",,Sociology,IELTS 7.5+
severely,/səˈvɪrli/,nghiêm khắc,"In a manner that is very great, intense, or harsh; to a serious or extreme degree.","The prolonged drought has severely affected agricultural output, leading to food shortages in the region.",adverb,"was severely, be severely, been severely","critically, harshly",,Environmental Science,IELTS 7.5+
stereotype,/ˈstɛrioʊˌtaɪp/,khuôn mẫu,A widely held but fixed and oversimplified image or idea of a particular type of person or thing.,"In social psychology, a stereotype is an over-generalized belief about a particular category of people, which is one of the major reasons for prejudice and discrimination.",noun,"the stereotype, a stereotype, to stereotype","preconception, cliché",,Sociology,IELTS 7.5+
treaty,/ˈtriti/,hiệp ước,A formally concluded and ratified agreement between sovereign states or international organizations.,"The Treaty of Versailles, signed in 1919, formally ended World War I, but its punitive terms are often cited by historians as a contributing factor to the subsequent rise of political instability in Germany.",noun,"the treaty, a treaty, this treaty","pact, accord",,Political Science,IELTS 7.5+
impulse,/ˌɪmˈpəls/,xung lực,A sudden strong and unreflective urge or desire to act.,The transmission of a nerve impulse across a synapse is a complex electrochemical process involving neurotransmitters that bridge the gap between neurons.,noun,"the impulse, an impulse, first impulse","urge, drive",,Psychology,IELTS 7.5+
minimal,/ˈmɪnəməl/,tối thiểu,"Of a minimum amount, quantity, or degree; constituting a minimum.",The algorithm is designed to find a minimal set of features from the vast dataset that can still produce a highly accurate predictive model.,adjective,"a minimal, the minimal, with minimal","least, slightest",,Computer Science,IELTS 7.5+
possession,/pəˈzɛʃən/,chiếm hữu,"The state of having, owning, or controlling something, often with legal implications regarding rights and responsibilities.","In legal terms, the distinction between ownership and possession is critical; one can have possession of an object without legally owning it, a concept central to bailment and theft laws.",noun,"the possession, in possession, took possession","ownership, custody",,Law,IELTS 7.5+
distinctive,/dɪˈstɪŋktɪv/,đặc biệt,"Characteristic of one person or thing, and so serving to distinguish it from others.","The male wood duck has a distinctive multicolored iridescent plumage and red eyes, with a white flare down the neck that makes it easily identifiable.",adjective,"a distinctive, the distinctive, and distinctive","characteristic, unique",,Biology,IELTS 7.5+
harsh,/hɑrʃ/,thô ráp,Extremely severe or cruel; difficult to endure.,"The ability of microorganisms to survive in harsh environments is often dependent on their capacity to form biofilms, which provide a protective matrix against external stressors.",adjective,"the harsh, a harsh, and harsh","severe, austere",,Biology,IELTS 7.5+
endure,/ɪnˈdʊr/,chịu đựng,"To suffer something difficult, unpleasant, or painful patiently; to remain in existence or to last for a long time.","Despite centuries of political turmoil and foreign invasions, the cultural identity of the nation managed to endure, preserving its unique traditions and language for future generations.",verb,"to endure, not endure, will endure","withstand, tolerate",,History,IELTS 7.5+
flourish,/flərɪʃ/,phát triển mạnh mẽ,"To grow or develop in a healthy or vigorous way, especially as the result of a particularly favorable environment.","In the nutrient-rich soil of the rainforest floor, a diverse array of fungal species flourish, playing a crucial role in decomposition and nutrient cycling.",verb,"to flourish, a flourish, and flourish","thrive, prosper",,Biology,IELTS 7.5+
discard,/dɪˈskɑrd/,vứt bỏ,To get rid of something that is no longer wanted or useful.,"In scientific inquiry, hypotheses that are consistently contradicted by empirical evidence must be discarded in favor of more robust explanations.",verb,"to discard, and discard, not discard","dispose of, jettison",,Environmental Science,IELTS 7.5+
emigrate,/ˈɛməˌgreɪt/,di cư,To leave one's own country in order to settle permanently in another.,Historical analyses reveal that economic downturns often correlate with a significant increase in the number of citizens choosing to emigrate in search of better opportunities.,verb,"to emigrate, not emigrate, and emigrate","relocate, move abroad",,Sociology,IELTS 7.5+
flaw,/flɔ/,khiếm khuyết,"A fault, mistake, or weakness, especially one that happens while something is being planned or made, or that causes something not to be perfect.","The investigation revealed a critical flaw in the alloy's composition, which led to structural failure under high stress.",noun,"a flaw, the flaw, fatal flaw","defect, imperfection",,Engineering,IELTS 7.5+
empower,/ɪmˈpaʊər/,trao quyền,"To give someone the authority or power to do something; to make someone stronger and more confident, especially in controlling their life and claiming their rights.",The decentralization policy was intended to empower local administrative bodies by transferring significant decision-making authority from the central government.,verb,"to empower, and empower, not empower","authorize, enable",,Sociology,IELTS 7.5+
faculty,/ˈfækəlti/,khoa,"The entire teaching staff of a university or college, or one of its departments; it can also refer to an inherent mental or physical power or aptitude.",The university's new interdisciplinary program was developed by a committee comprising senior faculty from both the humanities and the sciences.,noun,"the faculty, a faculty, and faculty","professoriate, academic staff",,Higher Education,IELTS 7.5+
mission,/ˈmɪʃən/,Sứ mệnh,"An important assignment or task, typically involving travel or a specific objective, often undertaken by a group or organization.",The primary mission of the Kepler space telescope was to discover Earth-sized planets orbiting other stars in a region of the Milky Way galaxy.,noun,"the mission, a mission, his mission","assignment, objective",,Astronomy,IELTS 7.5+
thoroughly,/ˈθəroʊli/,triệt để,"In a complete and careful way, with great attention to every detail.","Before drawing any conclusions, the research team thoroughly analyzed the chemical composition of the meteorite, ensuring every element was identified and quantified.",adverb,"be thoroughly, a thoroughly, and thoroughly","exhaustively, completely",,Chemistry,IELTS 7.5+
disregard,/ˌdɪsrɪˈgɑrd/,coi thường,To pay no attention to; to treat as unworthy of regard or notice.,"In their analysis of social mobility, the researchers made a critical error when they chose to disregard the impact of inherited wealth on educational attainment.",verb,"to disregard, and disregard, a disregard","ignore, overlook",,Sociology,IELTS 7.5+
draft,/dræft/,bản nháp,"A preliminary version of a piece of writing, a plan, or a drawing that is subject to revision.","Following the institutional review board's approval, the principal investigator circulated the first draft of the research protocol among the co-authors for critical feedback.",noun,"the draft, a draft, first draft","version, sketch",,Academic Writing,IELTS 7.5+
elite,/ɪˈlit/,ưu tú,"A select group that is superior in terms of ability, power, wealth, or qualities to the rest of a group or society.",The study examines how the political elite in post-Soviet states consolidated their power through the control of key economic assets and media outlets.,noun,"the elite, an elite, of elite","aristocracy, gentry",,Sociology,IELTS 7.5+
privacy,/ˈpraɪvəsi/,sự riêng tư,The state or condition of being free from being observed or disturbed by other people; the right to keep personal matters and relationships secret.,"The proliferation of social media platforms has fundamentally challenged traditional notions of privacy, blurring the lines between public and private life for millions of users worldwide.",noun,"of privacy, the privacy, and privacy","seclusion, confidentiality",,Sociology,IELTS 7.5+
proportion,/prəˈpɔrʃən/,tỷ lệ,"A part, share, or number considered in comparative relation to a whole.","In a study of urban development, researchers found that a significant proportion of new housing was concentrated in affluent neighborhoods, exacerbating social inequality.",noun,"the proportion, in proportion, large proportion","ratio, percentage",,Sociology,IELTS 7.5+
essentially,/ɛˈsɛnʃəli/,Thiết yếu,"Used to emphasize the most important, basic, or fundamental characteristic of a person, thing, or situation.","Plato's theory of Forms posits that the physical world is not the 'real' world; instead, it is essentially a shadow or imitation of the true, eternal Forms.",adverb,"is essentially, are essentially, was essentially","fundamentally, basically",,Philosophy,IELTS 7.5+
journal,/ˈʤərnəl/,tạp chí,A newspaper or magazine that deals with a particular subject or professional activity; it can also refer to a personal diary or a daily record of news and events.,The groundbreaking research on cellular regeneration was finally published in a high-impact scientific journal after a rigorous peer-review process.,noun,"the journal, american journal, international journal","periodical, publication",,Biology,IELTS 7.5+
forecast,/ˈfɔrˌkæst/,dự báo,To predict or estimate a future event or trend based on present data and analysis.,"Advanced econometric models are employed to forecast macroeconomic trends, such as GDP growth and unemployment rates, with greater accuracy.",verb,"the forecast, to forecast, a forecast","predict, project",,Economics,IELTS 7.5+
removal,/rɪˈmuvəl/,loại bỏ,The action of taking away or abolishing something from a position or place.,"The large-scale removal of carbon dioxide from the atmosphere, in combination with its storage, is known as carbon dioxide removal and is a key method of climate change mitigation.",noun,"the removal, and removal, of removal","elimination, extraction",,Environmental Science,IELTS 7.5+
mutual,/mˈjuʧuəl/,qua lại,Experienced or done by each of two or more parties toward the other; held in common by two or more people.,The stability of the social contract depends on the mutual recognition of rights and responsibilities among its citizens.,adjective,"of mutual, the mutual, a mutual","reciprocal, shared",,Sociology,IELTS 7.5+
intensity,/ˌɪnˈtɛnsɪti/,cường độ,"The measurable amount or degree of a quality, such as force, energy, or emotion.","In seismology, the intensity of an earthquake is a measure of the shaking at a particular location, often described using scales like the Modified Mercalli Intensity scale.",noun,"the intensity, and intensity, in intensity","strength, magnitude",,Physics,IELTS 7.5+
assemble,/əˈsɛmbəl/,tập hợp,"To bring together or gather into one place, group, or whole; to fit together the separate component parts of a machine or other object.",The intricate process requires skilled technicians to meticulously assemble the various microelectronic components onto the primary circuit board.,verb,"to assemble, and assemble, would assemble","construct, gather",,Engineering,IELTS 7.5+
grave,/greɪv/,phần mộ,Giving cause for alarm; very serious or solemn.,The unilateral declaration of independence by the province was considered a matter of grave concern for regional stability and international law.,"noun, adjective","the grave, a grave, his grave","serious, severe",,Political Science,IELTS 7.5+
steadily,/ˈstɛdəli/,đều đặn,"In a regular and unwavering manner; continuously and at an even, predictable pace.","Despite initial market volatility, the country's gross domestic product has been steadily increasing over the past decade, signaling a robust economic recovery.",adverb,"and steadily, been steadily, has steadily","consistently, continuously",,Economics,IELTS 7.5+
resemble,/rɪˈzɛmbəl/,giống,"To have qualities or features, especially those of appearance, in common with someone or something; to look or seem like.","The Viceroy butterfly's wing pattern closely resembles that of the toxic Monarch butterfly, a form of Batesian mimicry that deters predators.",verb,"to resemble, they resemble, closely resemble","mirror, look like",,Biology,IELTS 7.5+
addiction,/əˈdɪkʃən/,nghiện,"The condition of being dependent on a particular substance, thing, or activity, characterized by compulsive engagement and a loss of control despite adverse consequences.","Neuroscientific research has demonstrated that chronic substance use fundamentally alters brain circuits involved in reward, stress, and self-control, leading to the compulsive behaviors characteristic of addiction.",noun,"drug addiction, of addiction, the addiction","dependence, compulsion",,Psychology,IELTS 7.5+
practically,/ˈpræktɪkəli/,thực tế,"Almost or nearly; in a way that is true in effect or essence, even if not in a completely literal sense.","In many real-world applications, the friction in a well-designed bearing is so minimal that it is practically negligible.",adverb,"is practically, was practically, and practically","virtually, nearly",,Engineering,IELTS 7.5+
reside,/rɪˈzaɪd/,cư trú,"To have one's permanent home in a particular place; to be situated or to exist, especially in reference to a quality, right, or power.","In a democratic republic, ultimate sovereignty is understood to reside in the people, who delegate their authority to elected representatives.",verb,"to reside, they reside, who reside","dwell, inhabit",,Sociology,IELTS 7.5+
crude,/krud/,thô,"In a natural, raw, or unprocessed state; simple and lacking in technical sophistication or refinement.","Archaeological evidence suggests that early hominins used crude stone tools, fashioned by striking one rock against another to create a sharp edge.",adjective,"the crude, of crude, a crude","unrefined, primitive",,Anthropology,IELTS 7.5+
personnel,/ˌpərsəˈnɛl/,nhân viên,"The people who are employed in a company, organization, or one of the armed forces; the workforce.","The effective management of personnel is a critical component of organizational success, directly influencing productivity, morale, and employee retention rates.",noun,"the personnel, of personnel, and personnel","staff, workforce",,Business Administration,IELTS 7.5+
deliberate,/dɪˈlɪbərˌeɪt/,có chủ ý,Done consciously and intentionally; carefully weighed or considered in advance.,"The development of genuine expertise requires a deliberate, sustained effort to improve performance in a specific domain through targeted practice.",adjective,"a deliberate, the deliberate, and deliberate","intentional, calculated",,Psychology,IELTS 7.5+
interval,/ˈɪntərvəl/,khoảng thời gian,"A period of time between two events or a space between two points; in mathematics, the set of all real numbers between two given numbers.","In digital signal processing, the sampling interval is the time between successive samples, and its reciprocal is the sampling frequency.",noun,"the interval, an interval, time interval","period, gap",,Mathematics,IELTS 7.5+
retrieve,/rɪˈtriv/,lấy lại,"To find and bring back something from a particular place, or to find and get information, especially from a computer's memory.",The database management system is optimized to retrieve specific records from millions of entries in response to a complex query with minimal latency.,verb,"to retrieve, and retrieve, can retrieve","fetch, recover",,Computer Science,IELTS 7.5+
rigid,/ˈrɪʤɪd/,cứng nhắc,Unable to bend or be forced out of shape; not flexible. It can also refer to something that is not able to be changed or adapted.,"In analyzing the rotation of a rigid body, we must consider all the points of the body as they rotate together, meaning they all have the same angular velocity.",adjective,"a rigid, the rigid, and rigid","inflexible, stiff",,Engineering,IELTS 7.5+
violate,/ˈvaɪəleɪt/,vi phạm,"To break or fail to comply with a formal agreement, rule, or law; to treat something with disrespect or to disturb it.",Any military action that does not adhere to the established articles of the Geneva Conventions is considered to violate international humanitarian law.,verb,"to violate, not violate, would violate","infringe, breach",,Law,IELTS 7.5+
recommendation,/ˌrɛkəmənˈdeɪʃən/,sự giới thiệu,"A suggestion or proposal as to the best course of action, especially one put forward by an authoritative body or person.",The United Nations' final report on climate migration included a strong recommendation for the establishment of international legal frameworks to protect displaced populations.,noun,"the recommendation, a recommendation, of recommendation","suggestion, endorsement",,Sociology,IELTS 7.5+
undertake,/ˈəndərˌteɪk/,đảm nhận,"To commit oneself to and begin a task or enterprise, especially one that is large or difficult.",The commission will undertake a comprehensive review of the social welfare system to identify areas for reform and improvement.,verb,"to undertake, not undertake, would undertake","embark on, take on",,Sociology,IELTS 7.5+
foresee,/fɔrˈsi/,thấy trước,To be aware of or predict that something will happen in the future.,"Few economists could foresee the full extent of the global financial crisis of 2008, as the complex interplay of subprime mortgages and derivatives was not widely understood.",verb,"to foresee, not foresee, can foresee","predict, anticipate",,Economics,IELTS 7.5+
summon,/ˈsəmən/,triệu tập,"To officially order someone to be present, especially for a legal or official purpose; to call people together for a meeting; to gather or call upon a quality or strength from within oneself.","In response to the growing unrest, the monarch was compelled to summon the Estates-General, an assembly representing the different social classes, for the first time in over a century.",verb,"to summon, could summon, and summon","convene, muster",,History,IELTS 7.5+
deliberately,/dɪˈlɪbərətli/,cố ý,In a conscious and intentional way; on purpose.,The committee's report concluded that the company had deliberately concealed critical safety data from regulators to expedite the product's approval.,adverb,"and deliberately, was deliberately, is deliberately","intentionally, purposely",,Law,IELTS 7.5+
substance,/ˈsəbstəns/,chất,"A particular kind of matter with uniform properties; also, the essential or most important part of something.","In classical physics and general chemistry, a substance is a form of matter having constant chemical composition and characteristic properties.",noun,"the substance, a substance, of substance","material, matter",,Chemistry,IELTS 7.5+
dominate,/ˈdɑməˌneɪt/,thống trị,"To have power and influence over others; to be the most important, powerful, or successful person or thing in a group or area.","For centuries, the Roman Empire's military might allowed it to dominate vast territories across Europe, North Africa, and the Middle East.",verb,"to dominate, that dominate, will dominate","control, prevail",,History,IELTS 7.5+
capability,/ˌkeɪpəˈbɪləti/,khả năng,"The power, potential, or ability to do something, often referring to a feature or faculty of a system, person, or organization.","The new AI model demonstrates a remarkable capability for natural language understanding, surpassing previous benchmarks in contextual analysis and semantic interpretation.",noun,"the capability, this capability, and capability","ability, capacity",,Technology,IELTS 7.5+
ethic,/ˈɛθɪk/,đạo đức,"A moral principle or a set of moral principles, especially one that governs a person's behavior or the conducting of an activity.","The scientific community is governed by a strict ethic of honesty and transparency in reporting research findings, ensuring the integrity of the collective body of knowledge.",noun,"work ethic, an ethic, protestant ethic","principle, moral",,Philosophy,IELTS 7.5+
omit,/oʊˈmɪt/,bỏ qua,"To leave out or exclude someone or something, either intentionally or forgetfully.","To maintain the integrity of the study, the researchers made the difficult decision to omit any data points that could not be independently verified.",verb,"to omit, not omit, we omit","exclude, leave out",,Research Methodology,IELTS 7.5+
abuse,/əˈbjuz/,lạm dụng,The improper use of something or the cruel and violent treatment of a person or animal.,"The sociological study of power dynamics often reveals how systemic abuse can become institutionalized, perpetuating cycles of inequality and marginalization.",noun/verb,"sexual abuse, child abuse, the abuse","mistreatment, maltreatment",,Sociology,IELTS 7.5+
transaction,/trænˈzækʃən/,giao dịch,"An agreement, communication, or movement carried out between separate entities or people, often involving the exchange of items of value, such as goods, services, or money.","In distributed ledger technology, every transaction is cryptographically signed and linked to the previous one, creating an immutable and transparent record of all exchanges.",noun,"the transaction, a transaction, this transaction","deal, exchange",,Economics,IELTS 7.5+
organic,/ɔrˈgænɪk/,hữu cơ,"Relating to or derived from living matter; in chemistry, relating to compounds containing carbon; developing in a natural, gradual way without being forced or planned.","The decomposition of organic matter in soil is a crucial process for nutrient cycling, mediated by a complex community of microorganisms.",adjective,"of organic, the organic, an organic","natural, biological",,Chemistry,IELTS 7.5+
specialist,/ˈspɛʃəlɪst/,chuyên gia,A person who concentrates primarily on a particular subject or activity; a person highly skilled in a specific and restricted field.,The patient was referred to a specialist in neurology after initial tests failed to determine the cause of the persistent headaches.,noun,"a specialist, the specialist, of specialist","expert, authority",,Medicine,IELTS 7.5+
tackle,/ˈtækəl/,giải quyết,To make determined efforts to deal with a difficult problem or task.,"To tackle the problem of systemic inequality, sociologists analyze the intricate ways in which social structures and institutions perpetuate disparities across different demographic groups.",verb,"to tackle, and tackle, the tackle","address, confront",,Sociology,IELTS 7.5+
accompany,/əˈkəmpəni/,đi cùng,To go with someone or to be present with something else; to provide musical support for a soloist or group.,"In musical composition and performance, the melody is often designed to be supported by a harmonic structure, which a pianist or an orchestra might provide to accompany the lead vocalist.",verb,"to accompany, that accompany, which accompany","escort, attend",,Musicology,IELTS 7.5+
oversee,/ˈoʊvərˌsi/,giám sát,To watch or organize a job or an activity to make certain that it is being done correctly; to supervise.,"The project manager's primary responsibility is to oversee the development lifecycle, from initial planning and resource allocation to final deployment and post-launch analysis.",verb,"to oversee, and oversee, would oversee","supervise, manage",,Management,IELTS 7.5+
noble,/ˈnoʊbəl/,cao quý,Having or showing fine personal qualities or high moral principles; belonging to a hereditary class with high social or political status.,"The concept of the 'noble savage' was a powerful trope in Romantic literature, idealizing an uncorrupted state of nature in contrast to the perceived decadence of European civilization.",adjective,"the noble, a noble, and noble","aristocratic, honorable",,History,IELTS 7.5+
immense,/ˌɪˈmɛns/,bao la,"Extremely large or great, especially in scale or degree.",The immense gravitational pull of a black hole is so strong that not even light can escape its event horizon.,adjective,"an immense, the immense, of immense","vast, enormous",,Astronomy,IELTS 7.5+
populate,/ˈpɑpjəˌleɪt/,cư trú,To cause people or animals to live in a particular area; to inhabit or form the population of a place.,"Historical records indicate that various nomadic tribes were the first to populate the vast steppes of Central Asia, adapting their lifestyles to the harsh environmental conditions.",verb,"to populate, that populate, who populate","inhabit, settle",,Sociology,IELTS 7.5+
alternate,/ˈɔltərˌneɪt/,luân phiên,"To occur in turn repeatedly; to switch back and forth between two or more actions, states, or things.","In this geological formation, layers of sandstone and shale alternate, indicating fluctuating depositional environments over millions of years.",verb,"an alternate, the alternate, of alternate","rotate, interchange",,Geology,IELTS 7.5+
continuously,/kənˈtɪnjuəsli/,liên tục,In a way that is without interruption or cessation; unbroken.,"In the experimental setup, the laser was fired continuously for 72 hours to test the material's thermal resistance under prolonged energy exposure.",adverb,"is continuously, and continuously, are continuously","incessantly, uninterruptedly",,Physics,IELTS 7.5+
similarity,/ˌsɪməˈlɛrəti/,sự giống nhau,The state or fact of being similar; a feature or aspect that is like something else.,The striking similarity in the genetic makeup of chimpanzees and humans provides compelling evidence for a recent common ancestor.,noun,"the similarity, of similarity, a similarity","resemblance, likeness",,Biology,IELTS 7.5+
gradual,/ˈgræʤuəl/,dần dần,Happening or developing slowly or by degrees; proceeding step by step.,"The formation of sedimentary rock is a gradual process, involving the slow accumulation and compaction of mineral and organic particles over geological time scales.",adjective,"the gradual, a gradual, and gradual","progressive, incremental",,Geology,IELTS 7.5+
congress,/ˈkɑŋgrəs/,đại hội,"A national legislative body of a country, particularly the bicameral legislature of the United States; it can also refer to a formal meeting or conference of delegates for discussion of a particular subject.","In a presidential system, the executive branch is constitutionally independent of the congress, which is responsible for legislation and oversight.",noun,"of congress, the congress, in congress","legislature, parliament",,Political Science,IELTS 7.5+
questionnaire,/kˌwɛsʧəˈnɛr/,bảng câu hỏi,"A set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.",The research team developed a comprehensive questionnaire to assess the long-term psychological effects of remote work on employees across various industries.,noun,"the questionnaire, a questionnaire, this questionnaire","survey, form",,Sociology,IELTS 7.5+
latter,/ˈlætər/,sau này,Denoting the second or second mentioned of two people or things.,"While both libertarianism and socialism prioritize individual freedom, the former emphasizes negative liberty, or freedom from interference, whereas the latter champions positive liberty, which is the capacity to act upon one's free will.",adjective,"the latter, this latter, these latter","second, last-mentioned",,Political Science,IELTS 7.5+
stem,/stɛm/,thân cây,To originate in or be caused by; to have something as its origin or main cause.,Many of the patient's subsequent health complications stem from the initial viral infection that compromised their immune system.,verb,"the stem, brain stem, to stem","originate, derive",,Biology,IELTS 7.5+
influential,/ˌɪnfluˈɛnʃəl/,có ảnh hưởng,Having a great effect on someone or something; able to affect the way people think or behave.,"The philosophical treatises of John Locke were profoundly influential on the framers of the American Constitution, shaping their views on individual rights and government.",adjective,"most influential, and influential, an influential","significant, prominent",,History,IELTS 7.5+
pursuit,/pərˈsut/,theo đuổi,"The action of following or trying to achieve something, such as a goal or an objective, over a period of time.","The philosophical pursuit of epistemology is concerned with the nature of knowledge, justification, and the rationality of belief.",noun,"the pursuit, in pursuit, his pursuit","quest, search",,Philosophy,IELTS 7.5+
interfere,/ˌɪnərˈfɪr/,can thiệp,To prevent a process or activity from continuing or being carried out properly; to become involved in a situation where one is not wanted or is not helpful.,"In quantum mechanics, observing a particle can interfere with its momentum, a principle that fundamentally limits the precision of simultaneous measurements.",verb,"to interfere, not interfere, may interfere","meddle, impede",,Physics,IELTS 7.5+
considerable,/kənˈsɪdərəbəl/,đáng kể,"Notably large in size, amount, or degree.",The implementation of the new trade policy resulted in a considerable shift in the balance of payments between the two nations.,adjective,"a considerable, of considerable, with considerable","substantial, significant",,Economics,IELTS 7.5+
adjustment,/əˈʤəstmənt/,điều chỉnh,"A small alteration or movement made to achieve a desired fit, appearance, or result; the process of adapting or becoming used to a new condition.","The sociological model of immigrant assimilation posits that successful integration requires a significant period of cultural adjustment, during which individuals navigate the complexities of a new social environment.",noun,"the adjustment, of adjustment, an adjustment","modification, alteration",,Sociology,IELTS 7.5+
breakdown,/ˈbreɪkˌdaʊn/,sự cố,"A detailed analysis or itemized list of constituent parts; or a failure or collapse of a system, relationship, or one's mental or physical health.","The study provides a detailed breakdown of demographic trends, revealing a significant shift in population density from rural to urban centers over the past fifty years.",noun,"the breakdown, a breakdown, nervous breakdown","analysis, collapse",,Sociology,IELTS 7.5+
fatal,/ˈfeɪtəl/,gây tử vong,Causing or capable of causing death; leading to failure or disaster.,"In epidemiology, a case fatality rate is the proportion of people who die from a specified disease among all individuals diagnosed with the disease over a certain period of time, which is a measure of the severity of a disease and is often used for prognosis of fatal diseases.",adjective,"the fatal, a fatal, be fatal","lethal, deadly",,Medicine,IELTS 7.5+
mislead,/mɪsˈlid/,đánh lạc hướng,"To cause someone to have a wrong idea or impression about someone or something, often intentionally.","The framing of the statistical data was carefully constructed to avoid misleading the participants, thereby ensuring the integrity of the study on cognitive biases.",verb,"to mislead, not mislead, and mislead","deceive, delude",,Psychology,IELTS 7.5+
former,/ˈfɔrmər/,trước,Having previously filled a particular role or been a particular thing; of or in an earlier time.,"The treaty, signed by the former colonial powers, officially recognized the sovereignty of the newly independent nations, marking a pivotal moment in post-war decolonization.",adjective,"the former, a former, his former","previous, ex-",,History,IELTS 7.5+
bulk,/bəlk/,số lượng lớn,The mass or magnitude of something large; the greater part or majority of something.,"The electronic properties of a nanomaterial's surface often differ dramatically from those of its bulk, a phenomenon that engineers exploit in creating new catalysts.",noun,"the bulk, in bulk, great bulk","majority, mass",,Physics,IELTS 7.5+
corrupt,/kərəpt/,tham nhũng,Willing to act dishonestly or unethically in return for money or personal gain.,The historical analysis revealed that the fall of the ancient regime was precipitated by an increasingly corrupt bureaucracy that prioritized personal enrichment over civic duty.,adjective,"the corrupt, and corrupt, a corrupt","venal, dishonest",,Political Science,IELTS 7.5+
import,/ˌɪmˈpɔrt/,nhập khẩu,"To bring goods, services, or data into a country or system from abroad or an external source for sale, use, or processing.","Historically, nations with limited natural resources have had to import raw materials to fuel their industrial development and sustain their economies.",verb,"the import, to import, of import","bring in, introduce",,Economics,IELTS 7.5+
durable,/ˈdʊrəbəl/,bền bỉ,"Able to withstand wear, pressure, or damage over a long period of time; hard-wearing.","Ancient Roman concrete, known for its remarkably durable nature, has withstood millennia of environmental stress due to a unique chemical composition that allows it to self-heal.",adjective,"and durable, more durable, a durable","resilient, long-lasting",,Engineering,IELTS 7.5+
setback,/ˈsɛtˌbæk/,sự thụt lùi,A problem that makes progress more difficult or reverses a part of the progress already made.,"Despite the initial setback in securing funding, the longitudinal study on urban development proceeded as planned, eventually yielding groundbreaking results.",noun,"a setback, the setback, this setback","hurdle, impediment",,Project Management,IELTS 7.5+
facility,/fəˈsɪlɪti/,cơ sở,"A place, building, or piece of equipment provided for a particular purpose.","The new wastewater treatment facility was engineered to meet stringent environmental regulations, incorporating advanced filtration systems to minimize the discharge of pollutants into the adjacent river.",noun,"the facility, a facility, this facility","establishment, installation",,Urban Planning,IELTS 7.5+
resolve,/riˈzɑlv/,giải quyết,"To find a conclusive solution to a problem, dispute, or contentious matter; to make a firm decision.",The international tribunal was established with the primary mandate to resolve territorial disputes between the two nations through peaceful arbitration.,verb,"to resolve, and resolve, not resolve","settle, solve",,Political Science,IELTS 7.5+
